frame,timestamp_ms,person_id,cam_x,cam_y,cam_z,new_x,new_y,new_z
397,32720,1,331.97,520.19,700.00,2230.78,-2008.70,-472.76
398,32735,1,342.44,527.62,710.00,2227.20,-2005.28,-488.62
399,32760,1,345.30,527.62,710.00,2228.89,-2006.49,-490.87
400,32778,1,345.30,524.75,710.00,2229.78,-2006.09,-489.63
401,32798,1,345.30,524.75,710.00,2229.78,-2006.09,-489.63
402,32818,1,342.44,524.75,710.00,2228.09,-2004.87,-487.38
403,32838,1,356.97,536.56,734.00,2215.12,-1991.28,-514.53
404,32857,1,352.09,516.16,718.00,2230.50,-2000.61,-494.80
405,32878,1,353.73,506.10,704.00,2245.03,-2012.40,-485.55
406,32897,1,361.36,529.98,725.00,2226.46,-2000.26,-511.15
407,33020,1,354.71,491.72,684.00,2264.97,-2028.65,-471.26
408,33038,1,356.59,495.39,693.00,2258.24,-2021.93,-478.31
409,33057,1,360.93,485.25,675.00,2277.36,-2038.42,-469.37
410,33075,1,362.45,491.00,683.00,2270.51,-2032.74,-476.59
411,33215,2,320.13,523.90,705.00,2218.91,-1999.72,-467.27
